Size,IsPublic,GFA,AirconFA,Occupancy,ChillerType,ChillerAge,ChillerEff,ChillerAudit,LED,EUI,Age,TotalEnergy,NonAirconFA
Large,Yes,51479.0,30372.61,100.0,Water Cooled Chilled Water Plant,3.0,0.61,2.0,1.0,207.7,18.0,10692.19,21106.39
Small,No,2340.0,1778.4,90.0,"Others (Split Units, Unitary Systems)",0.0,,,10.0,149.4,19.0,349.6,561.6
Small,No,1148.0,872.48,70.0,"Others (Split Units, Unitary Systems)",8.0,,,0.0,121.5,42.0,139.48,275.52
Large,No,15267.0,14503.65,90.0,Water Cooled Chilled Water Plant,1.0,0.65,,40.0,348.9,28.0,5326.66,763.35
Small,No,2013.0,1731.18,100.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,241.2,16.0,485.54,281.82
Small,No,4259.0,0.0,95.0,"Others (Split Units, Unitary Systems)",0.0,,,0.0,142.8,24.0,608.19,4259.0
Small,No,2477.0,1634.82,62.0,"Others (Split Units, Unitary Systems)",16.0,,,0.0,224.8,118.0,556.83,842.18
Small,No,10403.0,8322.4,95.0,Air Cooled Chilled Water Plant,4.0,,,0.0,190.5,23.0,1981.77,2080.6
Small,No,3876.0,2635.68,100.0,"Others (Split Units, Unitary Systems)",16.0,,,0.0,245.2,36.0,950.4,1240.32
Large,No,67370.0,51874.9,97.0,Water Cooled Chilled Water Plant,14.0,1.1,6.0,0.0,183.7,16.0,12375.87,15495.1
Large,No,41363.0,28126.84,84.0,Water Cooled Chilled Water Plant,18.0,1.27,5.0,0.0,246.2,20.0,10183.57,13236.16
Large,No,27562.0,27010.76,94.0,Water Cooled Chilled Water Plant,2.0,0.62,4.0,90.0,178.2,13.0,4911.55,551.24
Large,No,37129.0,25619.01,98.0,Water Cooled Chilled Water Plant,6.0,,,25.0,242.5,25.0,9003.78,11509.99
Small,No,6832.0,6353.76,90.0,Air Cooled Chilled Water Plant,6.0,1.05,,0.0,270.2,22.0,1846.01,478.24
Small,No,10000.0,8000.0,100.0,Water Cooled Chilled Water Plant,9.0,,,85.0,182.6,45.0,1826.0,2000.0
Small,No,11291.0,10613.54,7.0,Water Cooled Chilled Water Plant,1.0,0.7,1.0,5.0,315.6,21.0,3563.44,677.46
Large,No,20180.0,12915.2,100.0,Water Cooled Chilled Water Plant,8.0,1.05,5.0,10.0,134.4,34.0,2712.19,7264.8
Small,No,11047.0,8837.6,100.0,Water Cooled Chilled Water Plant,6.0,0.7,2.0,30.0,383.8,32.0,4239.84,2209.4
Large,No,22518.0,18014.4,100.0,Water Cooled Chilled Water Plant,6.0,0.73,2.0,40.0,196.0,22.0,4413.53,4503.6
Small,No,5874.0,1997.16,20.0,"Others (Split Units, Unitary Systems)",2.0,,,0.0,145.6,3.0,855.25,3876.84
Small,No,12767.0,10341.27,95.0,District Cooling Plant,5.35,,,44.0,158.1,4.0,2018.46,2425.73
Large,No,23546.0,21897.78,95.0,Water Cooled Chilled Water Plant,1.0,,,60.0,164.6,7.0,3875.67,1648.22
Large,No,20484.0,18025.92,90.0,Water Cooled Chilled Water Plant,3.0,0.64,,10.0,334.3,4.0,6847.8,2458.08
Large,No,22495.0,16646.3,80.0,District Cooling Plant,8.0,,,10.0,291.6,5.0,6559.54,5848.7
Small,No,1968.0,1889.28,69.0,"Others (Split Units, Unitary Systems)",20.0,,,8.0,156.7,28.0,308.39,78.72
Small,Yes,12709.0,9531.75,100.0,Water Cooled Chilled Water Plant,18.0,1.55,6.0,0.0,183.0,19.0,2325.75,3177.25
